Best Parameters : 
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.917, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.944, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.944, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.884, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.884, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.884, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.881, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.884, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.881, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.854, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.881, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.914, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.944, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.884, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.944, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.856, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.914, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.914, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.881, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.917, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.881, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.914, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.879, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.884, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.914, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.884, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.881, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.944, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.851, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.851, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.884, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.854, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.914, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.881, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.944, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.914, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.939, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.909, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.881, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.881, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.914, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.917, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.884, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.939, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.00015, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.972, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 10}
best score: 0.970, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.912, best params: {'lr': 0.00015, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.972, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.939, best params: {'lr': 0.001, 'max_epochs': 20}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 1.000, best params: {'lr': 0.001, 'max_epochs': 25}
best score: 0.942, best params: {'lr': 0.001, 'max_epochs': 10}
best score: 0.909, best params: {'lr': 0.00015, 'max_epochs': 25}
